pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	include_decision	exclusion_reason	probable_relevance_score
38278149	Tumor- and circulating-free DNA methylation identifies clinically relevant small cell lung cancer subtypes.	10.1016/j.ccell.2024.01.001	Cancer cell	2024	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36400018	Evaluation of cell-free DNA approaches for multi-cancer early detection.	10.1016/j.ccell.2022.10.022	Cancer cell	2022	multi_cancer	cfDNA_methylation	diagnosis	True		0.6
36768828	Liquid Biopsy for Lung Cancer: Up-to-Date and Perspectives for Screening Programs.	10.3390/ijms24032505	International journal of molecular sciences	2023	lung	cfDNA_methylation	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39232927	Cell-free and extrachromosomal DNA profiling of small cell lung cancer.	10.1016/j.molmed.2024.08.004	Trends in molecular medicine	2025	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
37039321	Multiplex Digital Methylation-Specific PCR for Noninvasive Screening of Lung Cancer.	10.1002/advs.202206518	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2023	lung	cfDNA_methylation	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36514063	Potential clinical utility of liquid biopsy in early-stage non-small cell lung cancer.	10.1186/s12916-022-02681-x	BMC medicine	2022	lung	cfDNA_methylation	early_detection	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
39345137	Early Detection of Ovarian Cancer Using Cell-Free DNA Fragmentomes and Protein Biomarkers.	10.1158/2159-8290.CD-24-0393	Cancer discovery	2025	other	other	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39747216	Integrated multiomics signatures to optimize the accurate diagnosis of lung cancer.	10.1038/s41467-024-55594-z	Nature communications	2025	lung	cfDNA_methylation	diagnosis	True		0.95
31911847	Clinical applications of liquid biopsies for early lung cancer detection.		American journal of cancer research	2019	lung	cfDNA_methylation	diagnosis	True		0.7
35073982	Integrated 5-hydroxymethylcytosine and fragmentation signatures as enhanced biomarkers in lung cancer.	10.1186/s13148-022-01233-7	Clinical epigenetics	2022	lung	cfDNA_methylation	diagnosis	True		0.95
40765058	Detecting actionable mutations from matched plasma-based versus tissue next-generation sequencing in advanced non-small cell lung cancer: a retrospective single centre analysis on site.	10.1186/s13046-025-03480-x	Journal of experimental & clinical cancer research : CR	2025	lung	cfDNA_methylation	diagnosis	True		0.7
40020968	Clinicopathological Predictors of the Presence of Blood Circulating Tumor DNA in Early-Stage Non-Small Cell Lung Cancers.	10.1016/j.modpat.2025.100744	Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc	2025	lung	cfDNA_methylation	screening	True		0.8
